lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,fdac8d1e9ef56519371df7e6532df27d,Research report / Introduction,What does the map in the report shows?,"[21111, 17816, 21185, 21219, 21331, 20996, 21130, 21189, 21100, 21330]",[1042],Not Found,0.0
0.5,fdac8d1e9ef56519371df7e6532df27d,Research report / Introduction,What year is the report for?,"[558, 16456, 8319, 6887, 21472, 5960, 2923, 21571, 3641, 8256]",[925],Not Found,0.0
0.5,fdac8d1e9ef56519371df7e6532df27d,Research report / Introduction,What are the uses of Indian remote sensing satellite constellation?,"[948, 968, 1008, 1010, 1028, 1012, 921, 949, 938, 1045]","[939, 948]",1,0.5
0.5,fdac8d1e9ef56519371df7e6532df27d,Research report / Introduction,What is NARL stand for in this document?,"[1046, 1045, 1048, 11205, 1047, 1049, 14400, 1027, 10787, 17070]",[1046],1,1.0
0.5,fdac8d1e9ef56519371df7e6532df27d,Research report / Introduction,"Of the four missions of Indian Space Program's space mission from 2012 to 2017, which mission includes the launch of least number of satellites?","[922, 1010, 1015, 931, 1014, 981, 927, 980, 982, 1011]","[921, 922]",1,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"Regarding the global iOS breakdown, what percentage of the pie chart was iOS 9?","[19553, 8815, 19545, 19574, 19539, 19542, 19551, 19618, 23777, 19544]","[19545, 19546]",3,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"Between Java and WP, how large is the difference in percentage of their global developers mindshare?","[19553, 10730, 13043, 19551, 19526, 12595, 10669, 10725, 11359, 14212]","[19553, 19549]",1,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"In 2014, which one has more mobile apps globally, Apple App store or Google Play store? How many Apps does it have in million?","[19556, 19555, 8815, 8860, 8793, 19612, 19622, 8790, 19558, 19574]","[19553, 19556]",1,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"Which APP on APPOTA platform is top 10 Vietnam Android App, but not top 10 Vietnam iOS App?","[19664, 19623, 19662, 19645, 19666, 19598, 19574, 19667, 8790, 8793]","[19666, 19663]",5,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"As of Q3 2015, are there more active Instagram users in Vietnam, or are there more fans for Appota's fan page? Directly answer 'Instagram' or 'Appota'.","[3658, 8867, 8871, 24417, 19688, 3657, 18396, 19800, 19384, 19526]","[19651, 19687, 19657, 19658, 19689, 19690]",Not Found,0.0
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"As of Q3 2015, is vietnam's adoption rate of iOS 9 higher or lower than a global average rate? What is the difference in percentage?","[19542, 19580, 19574, 8815, 8871, 19623, 8764, 19544, 8818, 19653]","[19545, 19580]",2,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,Which news appear in both Vietnam mobile news and APPOTA news?,"[19534, 19526, 19623, 19667, 19564, 19664, 19565, 19566, 19598, 22502]","[19569, 19674]",Not Found,0.0
0.5,honor_watch_gs_pro,Guidebook,What is the time on the gallery screenshot when demostrating how to set galley watch faces?,"[2853, 26573, 2815, 26571, 24566, 19243, 22818, 9116, 2861, 26056]","[2857, 2858, 2859]",Not Found,0.0
