lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,PH_2016.06.08_Economy-Final,Research report / Introduction,"According to the report, which one is greater in population in the survey? Foreign born Latinos, or the Latinos interviewed by cellphone?","[10096, 8839, 10099, 8779, 10095, 8279, 10011, 8729, 6630, 8743]","[6724, 6732]",Not Found,0.0
0.5,PH_2016.06.08_Economy-Final,Research report / Introduction,"From this report, which subgroup among Hispanics has gained most confidence from 2008 to 2015? ","[9718, 6793, 6812, 6691, 6689, 8892, 6688, 6687, 7856, 8684]","[6684, 6694, 6695]",Not Found,0.0
0.5,PH_2016.06.08_Economy-Final,Research report / Introduction,"Among all 12 references in this report, how many are from its own research center?","[21861, 5296, 5821, 4773, 4431, 5710, 15884, 5022, 16059, 10280]","[6600, 6736, 6737, 6738, 6739, 6740, 6741, 6742, 6743, 6744, 6745]",Not Found,0.0
0.5,earlybird-110722143746-phpapp02_95,Research report / Introduction,How many more millions of dollars was the median exit valuation in the USA compared to Europe at the time of the presentation?,"[21340, 21286, 21349, 21289, 21342, 21339, 21334, 21348, 21345, 21355]","[21282, 21286]",2,0.5
0.5,earlybird-110722143746-phpapp02_95,Research report / Introduction,How many human quotes are provided with source in this document?,"[19297, 19296, 7205, 6326, 7300, 7541, 9565, 9051, 7303, 5028]","[21380, 21381, 21318, 21321, 21322, 21324, 21388, 21389, 21306, 21307]",Not Found,0.0
0.5,earlybird-110722143746-phpapp02_95,Research report / Introduction,Which two magazines' opinions are selected to illustrate the situation of German venture capital?,"[8005, 9249, 8347, 6168, 7872, 5973, 6382, 7661, 8074, 4591]","[21364, 21372]",Not Found,0.0
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,"What are the examples the slides show ""what does not make you data-driven""","[19147, 20266, 18369, 19148, 19326, 21276, 19357, 19564, 19243, 12264]","[19402, 19404, 19388, 19390, 19391]",Not Found,0.0
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,Which Youtube does the slides use to show the consequce of blindly following data?,"[20266, 19147, 18369, 21276, 19148, 19564, 19326, 19357, 19243, 21682]","[19498, 19500, 19501]",Not Found,0.0
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,How many hand drawn cartoons are included in the slides to illustrate the idea?,"[21276, 18470, 18457, 19430, 18514, 18459, 16804, 16744, 17753, 19208]","[19429, 19430, 19469, 19501, 19503]",4,0.2
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,"In the cartoon in page 25, what does the hippo represent?","[19430, 10247, 19408, 10246, 5342, 5310, 10205, 5367, 10180, 10255]",[19431],Not Found,0.0
