"lambda_rel","doc_name","domain","question","layout_retrieved","gt","first_hit_rank","recall","source_range"
"0.5","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","Where was Gestalt psychology concieved?","[372, 375, 370, 378, 380, 376, 385, 397, 371, 394]","[372]","1","1.0","0-75"
"0.5","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","According to the chart on page 14 how much time was spent with family and friends in 2010?","[405, 406, 5272, 9151, 3996, 23520, 24597, 61, 24599, 6032]","[404, 405]","1","0.5","0-75"
"0.5","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","What range does red color represents in approximate distance from the Mississippi River in the chart that tracks the West NIle Virus in Europe?","[393, 391, 24295, 3266, 3568, 22927, 23576, 16564, 3566, 3029]","[393]","1","1.0","0-75"
"0.5","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","How does this document define the law of good gestalt?","[399, 398, 395, 400, 396, 401, 397, 24172, 6777, 24081]","[396]","5","1.0","0-75"
"0.5","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","Which category has the most increase from 2005 to 2010 for time spent on weedends?","[406, 405, 18456, 12153, 11088, 23507, 553, 23500, 49, 20506]","[404, 405]","2","0.5","0-75"
"0.5","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","Which continent has the most number of registered participant for advanced science course in CTBTO?","[404, 2013, 4638, 9458, 5162, 17664, 3381, 20748, 19550, 19994]","[401, 404]","1","0.5","0-75"
"0.5","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","Which shapes does the slide use to illustrate the closure aspect of Gestalt Principle of Visual Perception?","[386, 370, 387, 381, 390, 375, 379, 391, 397, 373]","[387]","3","1.0","0-75"
"0.5","2310.05634v2","Academic paper","In figure 1, which relation arrows do not point to specific leaf nodes?","[3908, 22924, 24406, 6975, 25996, 20050, 2693, 23958, 3849, 26049]","[25992]","Not Found","0.0","0-75"
"0.5","2310.05634v2","Academic paper","In figure 5, what is the color of the line that has no intersection with any other line?","[20050, 23982, 24005, 25059, 24004, 24849, 387, 23998, 24286, 23996]","[26078]","Not Found","0.0","0-75"
"0.5","2310.05634v2","Academic paper","How many tables include ""F1"" as a metric?","[2988, 12960, 22280, 22705, 2917, 3465, 22278, 22277, 3350, 2978]","[26057, 26068, 26062, 26084]","Not Found","0.0","0-75"
"0.5","2310.05634v2","Academic paper","From the paper, which temperature gives ChatGPT the highest alignment score?","[23345, 23344, 22292, 22561, 13207, 3041, 22458, 2700, 22893, 2529]","[26064, 26062]","Not Found","0.0","0-75"
