"lambda_rel","doc_name","domain","question","layout_retrieved","gt","first_hit_rank","recall","source_range","source_file"
"0.0","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","Where was Gestalt psychology concieved?","[372, 370, 375, 373, 397, 388, 380, 395, 376, 385]","[372]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","According to the chart on page 14 how much time was spent with family and friends in 2010?","[405, 406, 22242, 12691, 161, 22535, 13293, 361, 401, 13434]","[404, 405]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","What range does red color represents in approximate distance from the Mississippi River in the chart that tracks the West NIle Virus in Europe?","[393, 391, 18519, 392, 4090, 22113, 912, 16564, 18309, 4531]","[393]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","How does this document define the law of good gestalt?","[395, 397, 396, 398, 399, 400, 401, 375, 372, 370]","[396]","3","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","Which category has the most increase from 2005 to 2010 for time spent on weedends?","[405, 406, 787, 822, 795, 382, 384, 960, 931, 3826]","[404, 405]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","Which continent has the most number of registered participant for advanced science course in CTBTO?","[404, 405, 406, 401, 3044, 2980, 3035, 18623, 20189, 15958]","[401, 404]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0e94b4197b10096b1f4c699701570fbf","Tutorial/Workshop","Which shapes does the slide use to illustrate the closure aspect of Gestalt Principle of Visual Perception?","[386, 370, 387, 390, 380, 391, 377, 378, 388, 376]","[387]","3","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.05634v2","Academic paper","In figure 1, which relation arrows do not point to specific leaf nodes?","[19956, 2687, 3503, 25165, 19864, 20049, 24990, 19822, 25034, 22896]","[25992]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.05634v2","Academic paper","In figure 5, what is the color of the line that has no intersection with any other line?","[24005, 24004, 23991, 24019, 25058, 23998, 24097, 387, 23996, 24849]","[26078]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.05634v2","Academic paper","How many tables include ""F1"" as a metric?","[26068, 3059, 22485, 3030, 3027, 22486, 22279, 22489, 3271, 3047]","[26057, 26068, 26062, 26084]","1","0.25","0-75","trial_report_best_lambda_0.0.csv"
